Simplified,Pinyin,Definition,HSK
牵制,qiānzhì,control; curb; restrict; impede,6
谦逊,qiānxùn,humble; modest; humility,6
签署,qiānshǔ,sign (an agreement),6
前景,qiánjǐng,outlook; future (prospects); foreground,6
前提,qiántí,premise; precondition,6
潜力,qiánlì,potential; capacity,6
潜水,qiánshuǐ,go diving,6
潜移默化,qiányímòhuà,"exert a subtle influence on sb.'s character, thinking, etc.; impercebtibly influence; to influence secretly",6
谴责,qiǎnzé,denounce; condemn; criticize,6
强制,qiángzhì,enforce; control; coerce,6
抢劫,qiǎngjié,rob; looting,6
抢救,qiǎngjiù,rescue; to save,6
强迫,qiǎngpò,compel; to force,6
桥梁,qiáoliáng,bridge,6
窍门,qiàomén,special tricks,6
翘,qiào,stick up; bend upwards,6
切实,qièshí,realistic; feasible; conscientiously,6
锲而不舍,qiè'érbùshě,keep on chipping away; work with perseverance,6
钦佩,qīnpèi,admire; have great respect for,6
侵犯,qīnfàn,encroach on; infringe on; violation,6
侵略,qīnlüè,invasion; encroachment; invade,6
亲密,qīnmì,intimate; close; familiarity,6
亲热,qīnrè,intimate; affectionate; warm,6
勤俭,qínjiǎn,hardworking and thrifty,6
勤劳,qínláo,hardworking; diligent; industrious,6
倾听,qīngtīng,listen attentively; heed (other people's opinions),6
倾向,qīngxiàng,trend; tendency; inclination,6
倾斜,qīngxié,incline; lean; to slant; to slope; to tilt,6
清澈,qīngchè,clear; limpid,6
清晨,qīngchén,early morning,6
清除,qīngchú,eliminate; get rid of,6
清洁,qīngjié,clean; unpolluted; purity,6
清理,qīnglǐ,cleanup; put in order; check up,6
清晰,qīngxī,clear; distinct; clarity,6
清醒,qīngxǐng,clear-headed; sober; regain consciousness,6
清真,qīngzhēn,Muslim,6
情报,qíngbào,intelligence; information-gathering,6
情节,qíngjié,plot; circumstances,6
情理,qínglǐ,reason; sense,6
情形,qíngxing,circumstances; situation,6
晴朗,qínglǎng,sunny and cloudless,6
请柬,qǐngjiǎn,invitation card; written invitation,6
请教,qǐngjiào,consult; seek advice,6
请示,qǐngshì,ask for instructions,6
请帖,qǐngtiě,invitation card; written invitation,6
丘陵,qiūlíng,hills,6
区分,qūfēn,differentiate; find differing aspects; find the difference between,6
区域,qūyù,area; region; district,6
曲折,qūzhé,winding; zigzag; complicated,6
驱逐,qūzhú,banishment; expel; deport,6
屈服,qūfú,yield; give in; submit,6
渠道,qúdào,irrigation ditch; medium or channel of communication,6
曲子,qǔzi,folk tune; music; melody,6
取缔,qǔdì,to ban; suppress,6
趣味,qùwèi,fun; interest; delight; taste,6
圈套,quāntào,trap,6
权衡,quánhéng,trade-off; weigh pros and cons,6
权威,quánwēi,authority; authoritative,6
全局,quánjú,overall situation,6
全力以赴,quán lì yǐ fù,do at all costs; make an all-out effort,6
拳头,quántou,fist,6
犬,quǎn,dog (Kangxi radical 94),6
缺口,quēkǒu,gap; breach; shortfall,6
缺席,quē xí,absence; absent; default,6
缺陷,quēxiàn,a defect; a flaw; disfigurement,6
瘸,qué,lame,6
确保,quèbǎo,ensure; guarantee,6
确立,quèlì,to establish; to institute,6
确切,quèqiè,definite; exact; precise,6
确信,quèxìn,confident; be certain of; to firmly believe,6
群众,qúnzhòng,the masses; multitude,6
染,rǎn,dye; to catch (a disease),6
嚷,rǎng,blurt out; shout,6
让步,ràng bù,give in; concede; yield,6
饶恕,ráoshù,forgive; pardon; spare,6
扰乱,rǎoluàn,disturb; perturb; harass,6
惹祸,rěhuò,stir up troubles,6
热泪盈眶,rè lèi yíng kuàng,(saying) eyes brimming with tears; extremely moved,6
热门,rèmén,in demand; popular; in vogue,6
人道,réndào,humanitarianism; humane,6
人格,réngé,personality; moral integrity; character,6
人工,réngōng,man-made; manpower; manual work,6
人家,rénjiā,other people; others; they; I; family; household,6
人间,rénjiān,man's world; the world,6
人士,rénshì,person; public figure,6
人为,rénwéi,artificial; man-made,6
人性,rénxìng,human nature; humanity,6
人质,rénzhì,hostage,6
仁慈,réncí,benevolent; kindhearted; charitable,6
忍耐,rěnnài,show restraint; endure; exercise patience,6
忍受,rěnshòu,to bear; endure; tolerate,6
认定,rèndìng,maintain (that sth. is true); firmly believe,6
认可,rènkě,approve; accept; ratify,6
任命,rènmìng,appoint and nominate,6
任性,rènxìng,willful; headstrong,6
任意,rènyì,arbitrarily; at will; at random,6
任重道远,rènzhòngdàoyuǎn,lit. a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle; shoulder heavy responsibilities,6
仍旧,réngjiù,still (remaining); remain (the same); yet,6
日新月异,rìxīnyuèyì,change with each passing day,6
日益,rìyì,day by day; more and more; increasingly,6
荣幸,róngxìng,honored,6
荣誉,róngyù,honor; glory,6
容貌,róngmào,facial features; looks; appearance,6
容纳,róngnà,contain; accommodate; tolerate (different options),6
容器,róngqì,container; receptacle; vessel,6
容忍,róngrěn,put up with; tolerate; condone,6
溶解,róngjiě,dissolve; solution,6
融化,rónghuà,melt; thaw; dissolve; blend into,6
融洽,róngqià,harmonious; friendly relations,6
柔和,róuhé,gentle; soft; mild,6
揉,róu,knead; to massage; to rub,6
儒家,rújiā,Confucianism,6
若干,ruògān,a certain number or amount; how many; how much,6
弱点,ruòdiǎn,weak point; failing,6
撒谎,sā huǎng,to tell lies,6
散文,sǎnwén,prose; essay,6
散布,sànbù,to scatter; disseminate; to spread,6
散发,sànfā,distribute; emit,6
丧失,sàngshī,to lose; to forfeit,6
骚扰,sāorǎo,harass; disturb; molest; cause a commotion,6
嫂子,sǎozi,(informal) elder brother's wife; sister-in-law,6
刹车,shā chē,brake (when driving); stop; switch off,6
啥,shá,(spoken) what,6
筛选,shāixuǎn,to filter; to sift,6
山脉,shānmài,mountain range,6
闪烁,shǎnshuò,to twinkle; to flicker; glimmer,6
擅长,shàncháng,be good at; be expert in,6
擅自,shànzì,unauthorized,6
伤脑筋,shāng nǎojīn,troublesome; bothersome,6
商标,shāngbiāo,trademark; logo,6
上级,shàngjí,higher authorities; superiors,6
上进,shàngjìn,make forward progress; do better,6
上任,shàng rèn,take office,6
上瘾,shàngyǐn,become addicted; get into a habit,6
上游,shàngyóu,upper reaches (of a river); advanced position,6
尚且,shàngqiě,yet; still; even; also,6
捎,shāo,bring or take (along); deliver (a message),6
梢,shāo,tip of a branch,6
哨,shào,a whistle; sentry post,6
奢侈,shēchǐ,luxury; sumptuous; extravagant,6
舌头,shétou,tongue,6
设立,shèlì,set up; establish,6
设想,shèxiǎng,imagine; consider; tentative plan,6
设置,shèzhì,set up; install; to fit,6
社区,shèqū,community,6
涉及,shèjí,involve; relate to; to touch upon (a topic),6
摄氏度,shèshìdù,degrees Celsius,6
申报,shēnbào,declare; report (to customs or other authority),6
呻吟,shēnyín,to moan; to groan,6
绅士,shēnshì,gentleman,6
深奥,shēn'ào,profound; deep,6
深沉,shēnchén,deep; extreme; low pitched (sound); grave; of major importance,6
深情厚谊,shēnqínghòuyì,profound friendship,6
神经,shénjīng,nerve,6
神奇,shénqí,miraculous; magical; mystical,6
神气,shénqì,expression; manner; spirited,6
神圣,shénshèng,divine; holy; sacred,6
神态,shéntài,appearance; looks; manner; expression,6
神仙,shénxiān,"fig. lighthearted person; Daoist immortal; supernatural entity; (in modern fiction) fairy, elf, leprechaun, etc.; supernatural being, celestial being, immortal; a person who has the power of clairvoyance or who is free from worldly cares",6
审查,shěnchá,examine; investigate; censorship,6
审理,shěnlǐ,hear (a case),6
审美,shěnměi,aesthetic sense; appreciation of the arts,6
审判,shěnpàn,put (someone) to trial; to try somebody,6
渗透,shèntòu,infiltrate; permeate,6
慎重,shènzhòng,cautious; careful; prudent,6
生存,shēngcún,exist; survive,6
生机,shēngjī,reprieve from death; life force; vitality,6
生理,shēnglǐ,physiology,6
生疏,shēngshū,unfamiliar; strange; out of practice,6
生态,shēngtài,way of life; ecology,6
生物,shēngwù,organism; living creature; life form,6
生肖,shēngxiào,Chinese zodiac,6
生效,shēng xiào,take effect; become effective,6
生锈,shēngxiù,to rust,6
生育,shēngyù,give birth; to rear; bring up (children),6
声明,shēngmíng,statement; declare; proclaim,6
声势,shēngshì,momentum; fame and power; prestige,6
声誉,shēngyù,reputation; fame,6
牲畜,shēngchù,livestock; domesticated animals,6
省会,shěnghuì,provincial capital,6
胜负,shèngfù,victory or defeat; the outcome of a battle,6
盛产,shèngchǎn,abound in; teem with; superabundant,6
盛开,shèngkāi,to bloom; be in full flower,6
盛情,shèngqíng,great kindness; boundless hospitality,6
盛行,shèngxíng,in fashion; prevalent; prevail,6
尸体,shītǐ,dead body; corpse; carcass,6
失事,shī shì,be involved in a crash; (have an) accident,6
失误,shīwù,mistake; lapse; miss,6
失踪,shī zōng,be missing; be unaccounted for,6
师范,shīfàn,teacher-training; pedagogical; normal (school),6
施加,shījiā,exert (effort or pressure),6
施展,shīzhǎn,use fully; put to good use,6
十足,shízú,full of; complete; 100 percent,6
石油,shíyóu,oil; petroleum,6
时常,shícháng,time and again; often; frequently,6
时而,shí'ér,"occasionally; often, but not at any fixed time",6
时光,shíguāng,time; era; period of time,6
时机,shíjī,opportune time; opportunity,6
时事,shíshì,current events; the present situation,6
识别,shíbié,identify; distinguish; discern,6
实惠,shíhuì,substantial material benefit; advantageous (deal),6
实力,shílì,strength,6
实施,shíshī,to implement; put into effect; carry out,6
实事求是,shí shì qiú shì,be practical and realistic; seek truth from facts,6
实行,shíxíng,to implement; put into practice; carry out,6
实质,shízhì,substance; essence; gist,6
拾,shí,pick up; ten (banker's anti-fraud numeral),6
使命,shǐmìng,a (diplomatic or other) mission,6
示范,shìfàn,demonstrate; lead the way; show how something is done,6
示威,shìwēi,hold a protest demonstration,6
示意,shìyì,to signal; to hint; to gesture; to motion; to indicate (an idea to sb),6
世代,shìdài,for generations; generation to generation,6
势必,shìbì,is bound to (happen),6
势力,shìli,power; influence,6
事故,shìgù,accident,6
事迹,shìjì,achievement; deed,6
事件,shìjiàn,event; happening; incident,6
事态,shìtài,situation; existing state of affairs,6
事务,shìwù,affairs; work,6
事项,shìxiàng,matter; item,6
事业,shìyè,undertaking; project; cause; enterprise,6
试图,shìtú,to try; to attempt,6
试验,shìyàn,experiment; test,6
视力,shìlì,vision; eyesight,6
视频,shìpín,video,6
视线,shìxiàn,line of sight; view line,6
视野,shìyě,field of vision,6
是非,shìfēi,right and wrong; truth and fiction; quarrel,6
适宜,shìyí,suitable for; appropriate for,6
逝世,shìshì,pass away; to die,6
释放,shìfàng,release; set free; liberate (a prisoner),6
收藏,shōucáng,collect; keep,6
收缩,shōusuō,pull back; shrink,6
收益,shōuyì,earnings; profit,6
收音机,shōuyīnjī,radio,6
手法,shǒufǎ,technique; trick; skill; tact,6
手势,shǒushì,gesture; sign; signal,6
手艺,shǒuyì,craft; workmanship; one's cooking,6
守护,shǒuhù,guard; defend; protect,6
首饰,shǒushì,jewelry,6
首要,shǒuyào,the most important; chief; principal,6
受罪,shòuzuì,endure hardships; have a hard time,6
授予,shòuyǔ,to award; confer,6
书法,shūfǎ,calligraphy; penmanship,6
书籍,shūjí,books; works,6
书记,shūji,secretary; clerk,6
书面,shūmiàn,"in writing; written (guarantee, etc.)",6
舒畅,shūchàng,happy; entirely free from worry,6
疏忽,shūhu,neglect; overlook; negligence,6
疏远,shūyuǎn,drift apart; keep at a distance; not in close touch; estranged,6
束,shù,"to tie; to bind; restrain; (mw for bunches, bundles, bouquets, etc.)",6
束缚,shùfù,to bind; restrict; to tie,6
树立,shùlì,set up; establish,6
竖,shù,vertical; to erect; vertical stroke,6
数额,shù'é,amount; sum of money; fixed number,6
耍,shuǎ,play/mess around with; juggle,6
衰老,shuāilǎo,grow old; age; deteriorate,6
衰退,shuāituì,decline; fall; drop; falter,6
率领,shuàilǐng,lead; command; head,6
涮火锅,shuànhuǒguō,"to instant-boil (mutton, beef, vegetables, etc.)",6
双胞胎,shuāngbāotāi,twins,6
爽快,shuǎngkuài,refreshed; rejuvenated; frank,6
水利,shuǐlì,water conservancy; irrigation works,6
水龙头,shuǐlóngtóu,faucet; tap,6
水泥,shuǐní,cement,6
瞬间,shùnjiān,in the twinkling of an eye; in an instant; momentary,6
司法,sīfǎ,judicial; (administration of) justice,6
司令,sīlìng,commanding officer,6
私自,sīzì,private; secretly; without permission,6
思念,sīniàn,think of; long for; to miss,6
思索,sīsuǒ,think deeply; ponder,6
思维,sīwéi,(line) of thought; thinking,6
斯文,sīwen,refined; educated; cultured; intellectual; men of letters; scholars; literati; polite; gentle,6
死亡,sǐwáng,to die; death; be dead,6
四肢,sìzhī,arms and legs; the four limbs of the body,6
寺庙,sìmiào,temple; monastery,6
饲养,sìyǎng,to raise; to rear (domestic animal),6
肆无忌惮,sìwújìdàn,absolutely unrestrained; unbridled; without the slightest scruple,6
耸,sǒng,shrug; towering; shock (alarm),6
艘,sōu,(mw for boats and ships),6
苏醒,sūxǐng,wake up; regain consciousness,6
俗话,súhuà,common saying; proverb,6
诉讼,sùsòng,lawsuit,6
素食,sùshí,vegetables; vegetarian food,6
素质,sùzhì,inner quality; basic essence; character quality,6
塑造,sùzào,to shape; mould; figure,6
算数,suànshù,(do) arithmetic; count,6
随即,suíjí,immediately (after); soon after; immediately,6
随意,suíyì,as one wishes; according to one's wishes,6
岁月,suìyuè,the years of a person's life,6
隧道,suìdào,tunnel,6
损坏,sǔnhuài,to damage; injure,6
索取,suǒqǔ,demand; ask for; to exact,6
索性,suǒxìng,you might as well (do it); simply; just; frankly; bluntly; directly,6
塌,tā,collapse; fall down; crumple,6
踏实,tāshi,practical; down-to-earth; realistic; feel at ease; steadfast,6
塔,tǎ,pagoda; tower,6
台风,táifēng,typhoon,6
太空,tàikōng,outer space,6
泰斗,tàidǒu,leading scholar of his time; magnate,6
贪婪,tānlán,greedy; avaricious,6
贪污,tānwū,"(political, moral) corruption; embezzle",6
摊,tān,to spread out; vendor's stand; booth; fry; (mw for puddles),6
瘫痪,tānhuàn,paralysis,6
弹性,tánxìng,flexibility; elasticity,6
坦白,tǎnbái,honest; forthcoming; to confess,6
叹气,tàn qì,to sigh,6
探测,tàncè,probe; take readings; detect; explore,6
探索,tànsuǒ,explore; quest,6
探讨,tàntǎo,inquire into; explore,6
探望,tànwàng,pay a visit; look around,6
倘若,tǎngruò,provided that; supposing that; if; in case,6
掏,tāo,fish out (from pocket),6
滔滔不绝,tāotāo bù jué,(saying) talking non-stop; gushing; torrential,6
陶瓷,táocí,ceramics; pottery and porcelain,6
陶醉,táozuì,"be intoxicated (with power, success, etc.)",6
淘汰,táotài,eliminate (in a competition); natural selection; die/phase out,6
讨好,tǎohǎo,to flatter,6
特长,tècháng,strong point; specialty,6
特定,tèdìng,special; specific; designated,6
特意,tèyì,specially for; with the special intention of,6
提拔,tíbá,promote to a higher job; elevate,6
提炼,tíliàn,"extract (ore, minerals, etc.); refine; purify",6
提示,tíshì,to prompt; to present; to point out; to draw attention to sth; hint; brief; cue,6
提议,tíyì,propose; suggest,6
题材,tícái,subject matter,6
体裁,tǐcái,types or forms of literature,6
体积,tǐjī,volume; bulk,6
体谅,tǐliàng,empathize; express sympathy; allow (for something),6
体面,tǐmiàn,dignity; honorable; face,6
体系,tǐxì,system; setup,6
天才,tiāncái,talent; gift; a genius; talented,6
天赋,tiānfù,natural talent,6
天伦之乐,tiānlúnzhīlè,family happiness,6
天然气,tiānránqì,natural gas,6
天生,tiānshēng,innate; inherent; natural,6
天堂,tiāntáng,paradise; heaven,6
天文,tiānwén,astronomy,6
田径,tiánjìng,track and field,6
田野,tiányě,field; open country,6
舔,tiǎn,to lick,6
挑剔,tiāoti,picky; fastidious,6
条款,tiáokuǎn,clause (of contract or law),6
条理,tiáolǐ,consecutive; arrangement; orderliness,6
条约,tiáoyuē,treaty; pact,6
调和,tiáohé,harmonious; harmony,6
调剂,tiáojì,make an adjustment,6
调节,tiáojié,adjust; regulate; reconcile,6
调解,tiáojiě,mediation; bring together to an agreement,6
调料,tiáoliào,seasoning; flavoring,6
挑拨,tiǎobō,incite disharmony; provoke; stir up tension in others,6
挑衅,tiǎoxìn,provoke; defiance,6
跳跃,tiàoyuè,jump; leap; bound; skip,6
亭子,tíngzi,pavilion; kiosk,6
停泊,tíngbó,anchor; mooring (of a ship),6
停顿,tíngdùn,pause; halt,6
停滞,tíngzhì,stagnation; be at a standstill; bogged down,6
挺拔,tǐngbá,tall and straight,6
通货膨胀,tōnghuò péngzhàng,inflation,6
通缉,tōngjī,order the arrest of a criminal,6
通俗,tōngsú,popular; common; everyday; average; vulgar,6
通讯,tōngxùn,communication; correspondence; news dispatch,6
通用,tōngyòng,in common use; interchangeable; General Motors,6
同胞,tóngbāo,compatriot; fellow countryman,6
同志,tóngzhì,comrade; gay (slang),6
铜,tóng,copper,6
童话,tónghuà,fairy tale,6
统筹兼顾,tǒngchóujiāngù,take every aspects into consideration through plan and preparation,6
统计,tǒngjì,statistics; to tally; to add up,6
统统,tǒngtǒng,totally; completely,6
统治,tǒngzhì,to rule (a country); govern; governance,6
投机,tóujī,speculate (on financial markets); congenial; opportunistic,6
投票,tóupiào,vote; poll,6
投诉,tóusù,make a complaint; appeal to a court,6
投降,tóuxiáng,to surrender,6
投掷,tóuzhì,throw something a long distance; hurl,6
透露,tòulù,divulge; to reveal; leak out,6
秃,tū,bald; blunt,6
突破,tūpò,break through; breakthrough,6
图案,tú'àn,design; pattern,6
徒弟,túdì,disciple,6
途径,tújìng,way; channel,6
涂抹,túmǒ,scribble; smear; doodle,6
土壤,tǔrǎng,soil; earth,6
团结,tuánjié,unite; hold a rally; join forces,6
团体,tuántǐ,group; organization; team,6
团圆,tuányuán,have a reunion; reunite as a family,6
推测,tuīcè,speculate; conjecture; surmise,6
推翻,tuīfān,overthrow; topple,6
推理,tuīlǐ,reasoning; speculative; inference,6
推论,tuīlùn,infer; a deduction; a corollary,6
推销,tuīxiāo,to market; sell,6
吞吞吐吐,tūntūntǔtǔ,"hum and haw (idiom); mumble as if hiding something; speak and break off, then start again; to hold something back",6
托运,tuōyùn,check in (baggage); consign for shipment,6
拖延,tuōyán,prolong; protraction; delay; stall; procrastinate,6
脱离,tuōlí,to separate oneself from; to break away from; be divorced from; diastasis (medicine); abscission; abjunction (botany),6
妥当,tuǒdang,appropriate; proper; pertinence,6
妥善,tuǒshàn,appropriate; proper; well-arranged,6
妥协,tuǒxié,to compromise; reach terms,6
椭圆,tuǒyuán,ellipse; oval,6
唾弃,tuòqì,cast aside; spurn,6
挖掘,wājué,excavate; dig; unearth,6
哇,wa,wow; (sound of crying or surprise),6
娃娃,wáwa,baby; child; doll,6
瓦解,wǎjiě,collapse; disintegrate; crumble,6
歪曲,wāiqū,to distort; to misrepresent; to twist; crooked; askew; aslant,6
外表,wàibiǎo,outward appearance; external; outside,6
外行,wàiháng,layman; amateur; nonprofessional,6
外界,wàijiè,the outside world; external,6
外向,wàixiàng,extroverted; export-oriented (economy),6
丸,wán,pill; pellet,6
完备,wánbèi,complete; perfect,6
完毕,wánbì,finish; end; complete,6
玩弄,wánnòng,resort to; play with; engage in,6
玩意儿,wányìr,thing; toy; gadget,6
顽固,wángù,stubborn; obstinate,6
顽强,wánqiáng,tenacious; hard to defeat,6
挽回,wǎnhuí,reverse or salvage (a situation); redeem; retrieve,6
挽救,wǎnjiù,to rescue; retrieve; to remedy,6
惋惜,wǎnxī,feel sorry for a person; sympathize; to regret,6
万分,wànfēn,very much; extremely,6
往常,wǎngcháng,habitually in the past; as one used to do; as it used to be,6
往事,wǎngshì,the past events; former happenings,6
妄想,wàngxiǎng,vainly hope; wishful thinking; delusion,6
危机,wēijī,crisis,6
威风,wēifēng,awe-inspiring authority; power and prestige; impressive force,6
威力,wēilì,might; power that invokes fear,6
威望,wēiwàng,prestige,6
威信,wēixìn,prestige; reputation; veneration; authority; trust,6
微不足道,wēi bù zú dào,negligible; insignificant; not worth mentioning,6
微观,wēiguān,microscopic; sub atomic,6
为难,wéinán,make things difficult for someone; embarrassed,6
为期,wéiqī,be scheduled for; last for (a certain duration),6
违背,wéibèi,violate; go against,6
唯独,wéidú,only; just (i.e. it is only that ...); alone,6
维持,wéichí,maintain; preserve,6
维护,wéihù,defend; to safeguard; defense; maintain,6
维生素,wéishēngsù,vitamin,6
伪造,wěizào,forge; to fake; to counterfeit,6
委托,wěituō,to entrust; to trust; to ensign; to commission,6
委员,wěiyuán,committee member; committee; council,6
卫星,wèixīng,satellite,6
未免,wèimiǎn,(of something that one finds has gone too far); rather a bit too,6
畏惧,wèijù,to fear; foreboding,6
喂,"wèi, wéi",hey; to feed | hello (on the phone),6
蔚蓝,wèilán,azure; sky blue,6
慰问,wèiwèn,to express sympathy; consolation; extend regards to; salute,6
温带,wēndài,temperate zone,6
温和,wēnhé,moderate; warm; (-huo: lukewarm),6
文凭,wénpíng,diploma,6
文物,wénwù,cultural relic; historical relic,6
文献,wénxiàn,document; literature,6
文雅,wényǎ,elegant; refined,6
文艺,wényì,literature and art,6
问世,wènshì,be published; to come out,6
窝,wō,nest; den,6
乌黑,wūhēi,jet-black; pitch-black,6
污蔑,wūmiè,to slander,6
诬陷,wūxiàn,entrap; to frame; plant false evidence against sb.,6
无比,wúbǐ,matchless; incomparable,6
无偿,wúcháng,free; no charge; at no cost,6
无耻,wúchǐ,without any sense of shame; shameless; audaciousness,6
无动于衷,wúdòngyúzhōng,aloof; indifferent; unconcerned; untouched,6
无非,wúfēi,nothing but; only,6
无辜,wúgū,innocent,6
无精打采,wújīngdǎcǎi,listless; be dispirited; in low spirits,6
无赖,wúlài,hoodlum; rascal; rogue; rascally; scoundrelly,6
无理取闹,wúlǐqǔnào,to make trouble without reason (idiom); wilfully make trouble; to be deliberately provocative; deliberately awkward; pointless provocation,6
无能为力,wú néng wéi lì,incapable of action; powerless; impotent,6
无穷无尽,wúqióngwújìn,"vast and limitless; endless span of time; no vestige of a beginning, no prospect of an end",6
无微不至,wú wēi bú zhì,in every possible way; meticulously,6
无忧无虑,wúyōuwúlǜ,carefree and without worries,6
无知,wúzhī,ignorance,6
武器,wǔqì,weapon; arms,6
武侠,wǔxiá,knight-errant; a genre of swordplay martial arts movies and books,6
武装,wǔzhuāng,arms; equipment; to arm,6
侮辱,wǔrǔ,to insult; humiliate,6
舞蹈,wǔdǎo,a dance,6
务必,wùbì,must; need to; be sure to,6
物美价廉,wùměijiàlián,attractive goods at inexpensive prices,6
物业,wùyè,property management,6
物资,wùzī,goods and materials; commodity,6
误差,wùchā,difference; error; inaccuracy,6
误解,wùjiě,misunderstand; misread,6
夕阳,xīyáng,setting sun,6
昔日,xīrì,formerly; in olden days,6
牺牲,xīshēng,"sacrifice (one's life, etc.)",6
溪,xī,creek,6
熄灭,xīmiè,extinguish; go out (of fire); die out; extinction,6
膝盖,xīgài,knee,6
习俗,xísú,custom; tradition; (local) convention,6
袭击,xíjī,surprise attack; to raid,6
媳妇,xífù,daughter-in-law; son's wife,6
喜闻乐见,xǐwénlèjiàn,a delight to see (idiom); an attractive spectacle,6
喜悦,xǐyuè,happy; joyous,6
系列,xìliè,series,6
细胞,xìbāo,cell (biology),6
细菌,xìjūn,bacteria; virus; germ,6
细致,xìzhì,delicate; meticulous,6
峡谷,xiágǔ,canyon; ravine; gorge,6
狭隘,xiá'ài,narrow; tight; narrow (minded); lacking in experience,6
狭窄,xiázhǎi,narrow,6
霞,xiá,red clouds,6
下属,xiàshǔ,subordinate; underling,6
先进,xiānjìn,advanced (technology); to advance,6
先前,xiānqián,before; previously,6
纤维,xiānwéi,fiber,6
掀起,xiānqǐ,lift; raise in height,6
鲜明,xiānmíng,bright; clear-cut; distinct,6
闲话,xiánhuà,gossip; digression,6
贤惠,xiánhuì,virtuous and dutiful (of women),6
弦,xián,bow string; string of musical instruments,6
衔接,xiánjiē,to join together; to combine,6
嫌,xián,to dislike; suspicion; grudge,6
嫌疑,xiányí,suspicion; (be) suspected (of),6
显著,xiǎnzhù,notable; marked; outstanding; remarkable,6
现场,xiànchǎng,scene (of event or incident); on the spot,6
现成,xiànchéng,ready-made; off-the-shelf,6
现状,xiànzhuàng,current situation; status quo,6
线索,xiànsuǒ,trail; clues; hints; thread (of a story),6
宪法,xiànfǎ,constitution; charter,6
陷害,xiànhài,cast blame on; to frame,6
陷阱,xiànjǐng,trap; snare,6
陷入,xiànrù,sink into; get caught up in; land in (a predicament),6
馅儿,xiànr,stuffing; filling,6
乡镇,xiāngzhèn,village and town,6
相差,xiāngchà,differ; difference,6
相等,xiāngděng,be equal to; equally; equivalent,6
相辅相成,xiāngfǔxiāngchéng,supplement and complement each other,6
相应,xiāngyìng,correspond; relevant,6
镶嵌,xiāngqiàn,inlay,6
响亮,xiǎngliàng,loud and clear; resounding,6
响应,xiǎngyìng,respond to; answer,6
想方设法,xiǎng fāng shè fǎ,(saying) think of or try every possible method; by all means possible,6
向导,xiàngdǎo,guide,6
向来,xiànglái,always; all along,6
向往,xiàngwǎng,yearn for; look forward to,6
巷,xiàng,lane; alley,6
相声,xiàngsheng,comic dialogue; crosstalk,6
削,xuē,to pare/peel with a knife; to cut; to chop,6
消除,xiāochú,eliminate; remove; clear up (abstract things）,6
消毒,xiāo dú,disinfect; sterilize,6
消防,xiāofáng,fire-fighting; fire prevention and control,6
消耗,xiāohào,use up; consume,6
消灭,xiāomiè,eliminate; perish; wipe out,6
销毁,xiāohuǐ,destroy (by melting or burning),6
潇洒,xiāosǎ,free and easy,6
小心翼翼,xiǎoxīn yìyì,carefully; cautiously; with great care,6
肖像,xiàoxiàng,portrait,6
效益,xiàoyì,benefit；results,6
协会,xiéhuì,an association; a society,6
协商,xiéshāng,consult with; talk things over,6
协调,xiétiáo,coordinate; harmonize,6
协议,xiéyì,agreement; pact; protocol,6
协助,xiézhù,assist; to help,6
携带,xiédài,take with; portable,6
泄露,xièlòu,leak (information); divulge,6
泄气,xièqì,despair; feel like giving up/disappointing; pathetic,6
屑,xiè,crumbs; filings; worth while,6
谢绝,xièjué,politely refuse,6
心得,xīndé,knowledge gained,6
心甘情愿,xīngānqíngyuàn,totally willing; perfectly happy to,6
心灵,xīnlíng,heart; soul; smart; quick-witted,6
心态,xīntài,pyschology; mentality; spirit,6
心疼,xīnténg,love dearly; the pain of love,6
心血,xīnxuè,heart and blood; painstaking effort; meticulous care,6
心眼儿,xīnyǎnr,one's thoughts; mind; intention; willingness to accept new ideas,6
辛勤,xīnqín,hardworking; diligent; industrious,6
欣慰,xīnwèi,be gratified; satisfied,6
欣欣向荣,xīnxīn xiàng róng,flourishing; thriving; prosperous,6
新陈代谢,xīn chén dàixiè,metabolism (bio); (saying) the new replaces the old,6
新郎,xīnláng,bridegroom; groom,6
新娘,xīnniáng,bride,6
新颖,xīnyǐng,new and original; novel,6
薪水,xīnshuǐ,salary; wage; pay; stipend,6
信赖,xìnlài,trust; have confidence in; confide,6
信念,xìnniàn,faith; belief; conviction,6
信仰,xìnyǎng,firm belief; faith; believe in (a religion),6
信誉,xìnyù,reputation; prestige; trust,6
兴隆,xīnglóng,prosperous; flourishing,6
兴旺,xīngwàng,prosperous; thriving; to prosper,6
腥,xīng,fishy (smell),6
刑事,xíngshì,criminal; penal,6
行政,xíngzhèng,administration; administrative,6
形态,xíngtài,shape; form; pattern,6
兴高采烈,xìng gāo cǎi liè,in high spirits,6
兴致勃勃,xìngzhìbóbó,in high spirits,6
性感,xìnggǎn,sex appeal; sexy; sexuality,6
性命,xìngmìng,life,6
性能,xìngnéng,function; performance,6
凶恶,xiōng'è,fierce; ferocious; menacing,6
凶手,xiōngshǒu,murderer; assassin; assailant,6
汹涌,xiōngyǒng,"(used in reference to an ocean, river, lake etc.) violently surge up; turbulent",6
胸怀,xiōnghuái,think about; heart; one's bosom (the seat of emotions); breast; broad-minded and open,6
胸膛,xiōngtáng,chest,6
